,positive,negative,compound,actual_returns,target_return,Close
2022-05-31 00:04:00+00:00,27,18,0.2630057142857143,0.0005275977074870042,0.0004182122962783641,31734.79296875
2022-05-31 00:06:00+00:00,41,18,0.28165555555555555,0.0004182122962783641,0.000285152936697175,31751.7890625
2022-05-31 00:08:00+00:00,45,36,0.14961076923076924,0.000285152936697175,0.0001185828555747559,31783.40234375
2022-05-31 00:10:00+00:00,53,26,0.31494545454545453,0.0001185828555747559,0.0005443523641959214,31775.4609375
2022-05-31 00:12:00+00:00,65,30,0.41845121951219516,0.0005443523641959214,-0.0004802140495082652,31796.03125
2022-05-31 00:14:00+00:00,30,23,0.23248888888888888,-0.0004802140495082652,-0.0003355975605613404,31741.421875
2022-05-31 00:15:00+00:00,10,7,0.1490125,-0.0003355975605613404,-0.0016004403257534605,31730.76953125
2022-05-31 00:16:00+00:00,24,10,0.34309,-0.0016004403257534605,6.504254306349821e-05,31679.986328125
2022-05-31 00:17:00+00:00,28,14,0.34323333333333333,6.504254306349821e-05,-0.00017403142848548825,31682.046875
2022-05-31 00:18:00+00:00,8,7,0.32717,-0.00017403142848548825,-0.0004395012203742832,31676.533203125
2022-05-31 00:19:00+00:00,53,26,0.3117791044776119,-0.0004395012203742832,0.00011474076452522297,31662.611328125
2022-05-31 00:21:00+00:00,49,26,0.2960921875,0.00011474076452522297,2.036151059980895e-06,31664.677734375
2022-05-31 00:23:00+00:00,51,31,0.2784285714285714,2.036151059980895e-06,0.0003679646655205815,31654.45703125
2022-05-31 00:25:00+00:00,50,36,0.2672151515151515,0.0003679646655205815,-0.000121735797058653,31668.05078125
2022-05-31 00:27:00+00:00,36,28,0.18068333333333333,-0.000121735797058653,-0.0007192784764766813,31666.93359375
2022-05-31 00:28:00+00:00,9,8,0.11933749999999999,-0.0007192784764766813,0.00012078898848821851,31644.15625
2022-05-31 00:29:00+00:00,23,10,0.36327499999999996,0.00012078898848821851,0.000172737632272435,31647.978515625
2022-05-31 00:30:00+00:00,24,22,0.1896742857142857,0.000172737632272435,0.00034202191161547546,31653.4453125
2022-05-31 00:31:00+00:00,10,5,0.368125,0.00034202191161547546,-0.00012132907832396178,31664.271484375
2022-05-31 00:32:00+00:00,43,26,0.23075964912280703,-0.00012132907832396178,-0.0001801142624148211,31660.4296875
2022-05-31 00:34:00+00:00,45,33,0.15731492537313435,-0.0001801142624148211,-0.0002815710541251848,31647.3828125
2022-05-31 00:36:00+00:00,48,32,0.13188450704225355,-0.0002815710541251848,9.01257844618808e-05,31628.587890625
2022-05-31 00:38:00+00:00,47,36,0.09438591549295776,9.01257844618808e-05,4.873051150111607e-05,31620.986328125
2022-05-31 00:40:00+00:00,46,33,0.2401174603174603,4.873051150111607e-05,-3.5079317857955594e-05,31624.759765625
2022-05-31 00:41:00+00:00,2,2,0.3913333333333333,-3.5079317857955594e-05,-8.337806412073157e-05,31623.650390625
2022-05-31 00:42:00+00:00,35,10,0.4743487804878049,-8.337806412073157e-05,4.268077516433877e-05,31621.013671875
2022-05-31 00:43:00+00:00,18,5,0.46966818181818176,4.268077516433877e-05,-0.00029992619196883563,31622.36328125
2022-05-31 00:44:00+00:00,14,7,0.32166666666666666,-0.00029992619196883563,-1.0626602562679999e-05,31612.87890625
2022-05-31 00:45:00+00:00,38,22,0.18687254901960784,-1.0626602562679999e-05,-2.2745468259088852e-05,31612.54296875
2022-05-31 00:47:00+00:00,59,39,0.18455365853658537,-2.2745468259088852e-05,-0.0009219262990793897,31598.982421875
2022-05-31 00:49:00+00:00,58,26,0.24983918918918918,-0.0009219262990793897,-0.0005602822059521673,31553.87109375
2022-05-31 00:51:00+00:00,57,32,0.2294388888888889,-0.0005602822059521673,0.0004432153838374031,31537.2890625
2022-05-31 00:53:00+00:00,57,31,0.19343424657534244,0.0004432153838374031,0.0007603976483401276,31530.8125
2022-05-31 00:55:00+00:00,34,22,0.2230745098039216,0.0007603976483401276,0.00017962191535869643,31565.869140625
2022-05-31 00:56:00+00:00,20,7,0.4648304347826087,0.00017962191535869643,-0.00010584839935690038,31571.5390625
2022-05-31 00:57:00+00:00,13,13,0.09260000000000002,-0.00010584839935690038,-3.0563789939597186e-05,31568.197265625
2022-05-31 00:58:00+00:00,25,17,0.19306571428571428,-3.0563789939597186e-05,-6.464761543711894e-05,31567.232421875
2022-05-31 01:00:00+00:00,50,26,0.23906567164179102,-6.464761543711894e-05,-0.0003490660056413297,31569.357421875
